source,target,type,weight
23,126,Tanimoto,0.9487179487
45,126,Tanimoto,1
47,126,Tanimoto,0.9487179487
50,126,Tanimoto,0.7254901961
71,126,Tanimoto,0.74
72,126,Tanimoto,0.7254901961
75,126,Tanimoto,1
6,127,Tanimoto,0.7049180328
7,127,Tanimoto,0.7142857143
110,127,Tanimoto,0.8918918919
122,127,Tanimoto,1
124,127,Tanimoto,0.75
1,129,Tanimoto,0.9054054054
76,129,Tanimoto,0.9066666667
123,129,Tanimoto,1
9,130,Tanimoto,1
18,130,Tanimoto,0.9230769231
30,130,Tanimoto,0.7307692308
33,130,Tanimoto,0.9090909091
59,130,Tanimoto,1
60,130,Tanimoto,0.9090909091
63,130,Tanimoto,0.7352941176
64,130,Tanimoto,1
73,130,Tanimoto,0.8333333333
90,130,Tanimoto,0.96
96,130,Tanimoto,0.7857142857
97,130,Tanimoto,0.7857142857
104,130,Tanimoto,0.9074074074
125,130,Tanimoto,0.96
29,131,Tanimoto,0.7073170732
88,131,Tanimoto,0.7575757576
105,131,Tanimoto,0.7631578947
117,131,Tanimoto,0.7073170732
7,132,Tanimoto,0.7010309278
42,132,Tanimoto,0.9054054054
122,133,Tanimoto,0.7037037037
127,133,Tanimoto,0.7037037037
132,133,Tanimoto,0.7640449438
85,134,Tanimoto,0.847826087
95,134,Tanimoto,0.7115384615
70,135,Tanimoto,0.7222222222
85,135,Tanimoto,0.7307692308
94,135,Tanimoto,0.7636363636
95,135,Tanimoto,0.7407407407
105,135,Tanimoto,0.7659574468
15,137,Tanimoto,0.9
30,137,Tanimoto,0.75
32,137,Tanimoto,1
44,137,Tanimoto,1
114,137,Tanimoto,0.9
9,138,Tanimoto,0.8
18,138,Tanimoto,0.8
30,138,Tanimoto,0.9047619048
32,138,Tanimoto,0.75
33,138,Tanimoto,0.7272727273
44,138,Tanimoto,0.75
59,138,Tanimoto,0.8
60,138,Tanimoto,0.7272727273
64,138,Tanimoto,0.8
73,138,Tanimoto,0.8163265306
90,138,Tanimoto,0.8333333333
96,138,Tanimoto,0.8
97,138,Tanimoto,0.8
104,138,Tanimoto,0.7547169811
125,138,Tanimoto,0.8333333333
130,138,Tanimoto,0.8
137,138,Tanimoto,0.75
3,139,Tanimoto,0.7021276596
19,139,Tanimoto,0.7027027027
31,139,Tanimoto,0.7021276596
121,139,Tanimoto,0.7446808511
13,140,Tanimoto,0.7391304348
29,140,Tanimoto,0.825
51,140,Tanimoto,0.8292682927
57,140,Tanimoto,0.7391304348
70,140,Tanimoto,0.7021276596
79,140,Tanimoto,0.7391304348
85,140,Tanimoto,0.75
88,140,Tanimoto,0.7941176471
105,140,Tanimoto,0.7073170732
131,140,Tanimoto,0.8055555556
15,142,Tanimoto,0.7941176471
16,142,Tanimoto,0.7173913043
32,142,Tanimoto,0.8823529412
44,142,Tanimoto,0.8823529412
109,142,Tanimoto,0.7173913043
114,142,Tanimoto,0.7941176471
137,142,Tanimoto,0.8823529412
7,143,Tanimoto,0.7843137255
110,143,Tanimoto,0.8018018018
122,143,Tanimoto,0.898989899
127,143,Tanimoto,0.898989899
132,143,Tanimoto,0.7311827957
133,143,Tanimoto,0.7755102041
65,144,Tanimoto,0.8214285714
2,145,Tanimoto,0.8936170213
3,145,Tanimoto,0.7843137255
14,145,Tanimoto,0.72
16,145,Tanimoto,0.8775510204
31,145,Tanimoto,0.7843137255
56,145,Tanimoto,0.8301886792
61,145,Tanimoto,0.8461538462
69,145,Tanimoto,0.8936170213
78,145,Tanimoto,0.72
83,145,Tanimoto,0.8461538462
92,145,Tanimoto,0.8846153846
98,145,Tanimoto,0.9387755102
99,145,Tanimoto,0.7719298246
100,145,Tanimoto,0.8823529412
101,145,Tanimoto,0.8846153846
102,145,Tanimoto,0.8214285714
103,145,Tanimoto,0.8461538462
107,145,Tanimoto,0.9375
108,145,Tanimoto,0.7678571429
109,145,Tanimoto,0.8775510204
115,145,Tanimoto,0.7288135593
23,146,Tanimoto,0.7647058824
45,146,Tanimoto,0.7254901961
47,146,Tanimoto,0.7647058824
75,146,Tanimoto,0.7254901961
126,146,Tanimoto,0.7254901961
23,147,Tanimoto,0.7647058824
45,147,Tanimoto,0.7254901961
47,147,Tanimoto,0.7647058824
75,147,Tanimoto,0.7254901961
126,147,Tanimoto,0.7254901961
146,147,Tanimoto,1
73,148,Tanimoto,0.7272727273
104,148,Tanimoto,0.7368421053
142,148,Tanimoto,0.7021276596
